company,year,provider,raw_score,normalized_score,environment_score,social_score,governance_score,confidence,ranking,keywords,interpretation_basis,methodology_source,methodology_url,normalization_note,methodology_gap,data_gap,weighting_difference
Schneider Electric,2016,CDP,Climate A-; Water B; Forest ,81.5,88.0,,,74,,climate disclosure,Analyst interpretation based on public methodology,CDP Corporate Scoring Methodology / Understand your score,https://help.cdp.net/en-US/knowledgebase/article/KA-01160,"Climate, Water, and Forest letter grades are mapped to numeric values, then averaged where available.","CDP is environment-disclosure focused, so its normalized score reflects climate, water, and forest grades rather than full ESG coverage.",Social and governance pillars are not native CDP fields in the source table and are left blank.,Environmental disclosure and transition performance dominate the aggregate.
Schneider Electric,2016,MSCI,A,70.0,62.0,62.0,62.0,72,,ESG developing,Analyst interpretation based on public methodology,MSCI ESG Ratings Methodology,https://www.msci.com/downloads/documents/access/sustainability-and-climate-resources-and-disclosures/msci-sustainability-and-climate-methodologies/esg-ratings/core-methodologies/esg-ratings-methodology.pdf,"Letter rating mapped to 0-100 scale: A=70, AA=85, AAA=95 in the current source table.",MSCI ratings are peer-relative letter grades; they are mapped to a normalized scale for dashboard comparison.,"Qualitative E/S/G labels are mapped to numeric values, so pillar scores are directional rather than raw provider points.",Industry-relative financial materiality and controversy management can outweigh broad disclosure completeness.
Schneider Electric,2016,S&P CSA,~70,70.0,,,,75,,ESG integration,Analyst interpretation based on public methodology,S&P Global CSA Methodology,https://www.spglobal.com/esg/csa/csa-resources/csa-methodology,Reported CSA total score is used directly; approximate values like ~87 are parsed as 87.,"CSA uses a questionnaire-led sector assessment, so detailed evidence and response coverage can move scores differently than public-data providers.",Earlier years may have incomplete E/S/G pillars; ranking and keywords are retained from the source table.,"Sector materiality spreads weight across climate, energy efficiency, human capital, innovation, and governance."
Schneider Electric,2016,Sustainalytics,25,75.0,90.0,92.0,93.0,85,Medium,environmental exposure,Analyst interpretation based on public methodology,Morningstar Sustainalytics ESG Risk Ratings Methodology,https://connect.sustainalytics.com/esg-risk-ratings-methodology,ESG Risk Score is inverted as normalized_score = 100 - Risk Score because lower raw risk is better.,"Sustainalytics is risk-oriented: lower raw ESG Risk Score is better, so it is inverted for 0-100 comparison.","Risk components reflect exposure and unmanaged risk, not the same evidence base as questionnaire or disclosure scores.",Unmanaged financially material risk carries more weight than broad disclosure volume.
Schneider Electric,2017,CDP,Climate A-; Water B; Forest ,81.5,88.0,,,74,,emissions control,Analyst interpretation based on public methodology,CDP Corporate Scoring Methodology / Understand your score,https://help.cdp.net/en-US/knowledgebase/article/KA-01160,"Climate, Water, and Forest letter grades are mapped to numeric values, then averaged where available.","CDP is environment-disclosure focused, so its normalized score reflects climate, water, and forest grades rather than full ESG coverage.",Social and governance pillars are not native CDP fields in the source table and are left blank.,Environmental disclosure and transition performance dominate the aggregate.
Schneider Electric,2017,MSCI,AA,85.0,82.0,62.0,62.0,72,,environmental strength,Analyst interpretation based on public methodology,MSCI ESG Ratings Methodology,https://www.msci.com/downloads/documents/access/sustainability-and-climate-resources-and-disclosures/msci-sustainability-and-climate-methodologies/esg-ratings/core-methodologies/esg-ratings-methodology.pdf,"Letter rating mapped to 0-100 scale: A=70, AA=85, AAA=95 in the current source table.",MSCI ratings are peer-relative letter grades; they are mapped to a normalized scale for dashboard comparison.,"Qualitative E/S/G labels are mapped to numeric values, so pillar scores are directional rather than raw provider points.",Industry-relative financial materiality and controversy management can outweigh broad disclosure completeness.
Schneider Electric,2017,S&P CSA,~72,72.0,,,,75,,reporting improvement,Analyst interpretation based on public methodology,S&P Global CSA Methodology,https://www.spglobal.com/esg/csa/csa-resources/csa-methodology,Reported CSA total score is used directly; approximate values like ~87 are parsed as 87.,"CSA uses a questionnaire-led sector assessment, so detailed evidence and response coverage can move scores differently than public-data providers.",Earlier years may have incomplete E/S/G pillars; ranking and keywords are retained from the source table.,"Sector materiality spreads weight across climate, energy efficiency, human capital, innovation, and governance."
Schneider Electric,2017,Sustainalytics,23,77.0,91.0,93.0,93.0,85,Medium,risk improving,Analyst interpretation based on public methodology,Morningstar Sustainalytics ESG Risk Ratings Methodology,https://connect.sustainalytics.com/esg-risk-ratings-methodology,ESG Risk Score is inverted as normalized_score = 100 - Risk Score because lower raw risk is better.,"Sustainalytics is risk-oriented: lower raw ESG Risk Score is better, so it is inverted for 0-100 comparison.","Risk components reflect exposure and unmanaged risk, not the same evidence base as questionnaire or disclosure scores.",Unmanaged financially material risk carries more weight than broad disclosure volume.
Schneider Electric,2018,CDP,Climate A; Water A-; Forest ,91.5,95.0,,,74,,climate improvement,Analyst interpretation based on public methodology,CDP Corporate Scoring Methodology / Understand your score,https://help.cdp.net/en-US/knowledgebase/article/KA-01160,"Climate, Water, and Forest letter grades are mapped to numeric values, then averaged where available.","CDP is environment-disclosure focused, so its normalized score reflects climate, water, and forest grades rather than full ESG coverage.",Social and governance pillars are not native CDP fields in the source table and are left blank.,Environmental disclosure and transition performance dominate the aggregate.
Schneider Electric,2018,MSCI,AA,85.0,82.0,82.0,62.0,72,,ESG improving,Analyst interpretation based on public methodology,MSCI ESG Ratings Methodology,https://www.msci.com/downloads/documents/access/sustainability-and-climate-resources-and-disclosures/msci-sustainability-and-climate-methodologies/esg-ratings/core-methodologies/esg-ratings-methodology.pdf,"Letter rating mapped to 0-100 scale: A=70, AA=85, AAA=95 in the current source table.",MSCI ratings are peer-relative letter grades; they are mapped to a normalized scale for dashboard comparison.,"Qualitative E/S/G labels are mapped to numeric values, so pillar scores are directional rather than raw provider points.",Industry-relative financial materiality and controversy management can outweigh broad disclosure completeness.
Schneider Electric,2018,S&P CSA,~75,75.0,,,,75,,sustainability progress,Analyst interpretation based on public methodology,S&P Global CSA Methodology,https://www.spglobal.com/esg/csa/csa-resources/csa-methodology,Reported CSA total score is used directly; approximate values like ~87 are parsed as 87.,"CSA uses a questionnaire-led sector assessment, so detailed evidence and response coverage can move scores differently than public-data providers.",Earlier years may have incomplete E/S/G pillars; ranking and keywords are retained from the source table.,"Sector materiality spreads weight across climate, energy efficiency, human capital, innovation, and governance."
Schneider Electric,2018,Sustainalytics,21,79.0,92.0,93.0,94.0,85,Medium,ESG improving,Analyst interpretation based on public methodology,Morningstar Sustainalytics ESG Risk Ratings Methodology,https://connect.sustainalytics.com/esg-risk-ratings-methodology,ESG Risk Score is inverted as normalized_score = 100 - Risk Score because lower raw risk is better.,"Sustainalytics is risk-oriented: lower raw ESG Risk Score is better, so it is inverted for 0-100 comparison.","Risk components reflect exposure and unmanaged risk, not the same evidence base as questionnaire or disclosure scores.",Unmanaged financially material risk carries more weight than broad disclosure volume.
Schneider Electric,2019,CDP,Climate A; Water A; Forest B,88.33333333333333,95.0,,,84,A List,climate leadership,Analyst interpretation based on public methodology,CDP Corporate Scoring Methodology / Understand your score,https://help.cdp.net/en-US/knowledgebase/article/KA-01160,"Climate, Water, and Forest letter grades are mapped to numeric values, then averaged where available.","CDP is environment-disclosure focused, so its normalized score reflects climate, water, and forest grades rather than full ESG coverage.",Social and governance pillars are not native CDP fields in the source table and are left blank.,Environmental disclosure and transition performance dominate the aggregate.
Schneider Electric,2019,MSCI,AAA,95.0,95.0,82.0,82.0,82,Top 10%,ESG leader,Analyst interpretation based on public methodology,MSCI ESG Ratings Methodology,https://www.msci.com/downloads/documents/access/sustainability-and-climate-resources-and-disclosures/msci-sustainability-and-climate-methodologies/esg-ratings/core-methodologies/esg-ratings-methodology.pdf,"Letter rating mapped to 0-100 scale: A=70, AA=85, AAA=95 in the current source table.",MSCI ratings are peer-relative letter grades; they are mapped to a normalized scale for dashboard comparison.,"Qualitative E/S/G labels are mapped to numeric values, so pillar scores are directional rather than raw provider points.",Industry-relative financial materiality and controversy management can outweigh broad disclosure completeness.
Schneider Electric,2019,S&P CSA,~78,78.0,80.0,75.0,74.0,88,Top 10%,climate strategy,Analyst interpretation based on public methodology,S&P Global CSA Methodology,https://www.spglobal.com/esg/csa/csa-resources/csa-methodology,Reported CSA total score is used directly; approximate values like ~87 are parsed as 87.,"CSA uses a questionnaire-led sector assessment, so detailed evidence and response coverage can move scores differently than public-data providers.",Earlier years may have incomplete E/S/G pillars; ranking and keywords are retained from the source table.,"Sector materiality spreads weight across climate, energy efficiency, human capital, innovation, and governance."
Schneider Electric,2019,Sustainalytics,20,80.0,92.0,94.0,94.0,85,Top 15%,risk reduction,Analyst interpretation based on public methodology,Morningstar Sustainalytics ESG Risk Ratings Methodology,https://connect.sustainalytics.com/esg-risk-ratings-methodology,ESG Risk Score is inverted as normalized_score = 100 - Risk Score because lower raw risk is better.,"Sustainalytics is risk-oriented: lower raw ESG Risk Score is better, so it is inverted for 0-100 comparison.","Risk components reflect exposure and unmanaged risk, not the same evidence base as questionnaire or disclosure scores.",Unmanaged financially material risk carries more weight than broad disclosure volume.
Schneider Electric,2020,CDP,Climate A; Water A; Forest B,88.33333333333333,95.0,,,84,A List,strong disclosure,Analyst interpretation based on public methodology,CDP Corporate Scoring Methodology / Understand your score,https://help.cdp.net/en-US/knowledgebase/article/KA-01160,"Climate, Water, and Forest letter grades are mapped to numeric values, then averaged where available.","CDP is environment-disclosure focused, so its normalized score reflects climate, water, and forest grades rather than full ESG coverage.",Social and governance pillars are not native CDP fields in the source table and are left blank.,Environmental disclosure and transition performance dominate the aggregate.
Schneider Electric,2020,MSCI,AAA,95.0,95.0,82.0,82.0,82,Leader,climate leader,Analyst interpretation based on public methodology,MSCI ESG Ratings Methodology,https://www.msci.com/downloads/documents/access/sustainability-and-climate-resources-and-disclosures/msci-sustainability-and-climate-methodologies/esg-ratings/core-methodologies/esg-ratings-methodology.pdf,"Letter rating mapped to 0-100 scale: A=70, AA=85, AAA=95 in the current source table.",MSCI ratings are peer-relative letter grades; they are mapped to a normalized scale for dashboard comparison.,"Qualitative E/S/G labels are mapped to numeric values, so pillar scores are directional rather than raw provider points.",Industry-relative financial materiality and controversy management can outweigh broad disclosure completeness.
Schneider Electric,2020,S&P CSA,~80,80.0,83.0,77.0,76.0,88,Top 10%,energy efficiency,Analyst interpretation based on public methodology,S&P Global CSA Methodology,https://www.spglobal.com/esg/csa/csa-resources/csa-methodology,Reported CSA total score is used directly; approximate values like ~87 are parsed as 87.,"CSA uses a questionnaire-led sector assessment, so detailed evidence and response coverage can move scores differently than public-data providers.",Earlier years may have incomplete E/S/G pillars; ranking and keywords are retained from the source table.,"Sector materiality spreads weight across climate, energy efficiency, human capital, innovation, and governance."
Schneider Electric,2020,Sustainalytics,19,81.0,93.0,94.0,94.0,85,Top 10%,ESG mitigation,Analyst interpretation based on public methodology,Morningstar Sustainalytics ESG Risk Ratings Methodology,https://connect.sustainalytics.com/esg-risk-ratings-methodology,ESG Risk Score is inverted as normalized_score = 100 - Risk Score because lower raw risk is better.,"Sustainalytics is risk-oriented: lower raw ESG Risk Score is better, so it is inverted for 0-100 comparison.","Risk components reflect exposure and unmanaged risk, not the same evidence base as questionnaire or disclosure scores.",Unmanaged financially material risk carries more weight than broad disclosure volume.
Schneider Electric,2021,CDP,Climate A; Water A; Forest B,88.33333333333333,95.0,,,84,A List,decarbonization,Analyst interpretation based on public methodology,CDP Corporate Scoring Methodology / Understand your score,https://help.cdp.net/en-US/knowledgebase/article/KA-01160,"Climate, Water, and Forest letter grades are mapped to numeric values, then averaged where available.","CDP is environment-disclosure focused, so its normalized score reflects climate, water, and forest grades rather than full ESG coverage.",Social and governance pillars are not native CDP fields in the source table and are left blank.,Environmental disclosure and transition performance dominate the aggregate.
Schneider Electric,2021,MSCI,AAA,95.0,95.0,95.0,82.0,82,Leader,social improvement,Analyst interpretation based on public methodology,MSCI ESG Ratings Methodology,https://www.msci.com/downloads/documents/access/sustainability-and-climate-resources-and-disclosures/msci-sustainability-and-climate-methodologies/esg-ratings/core-methodologies/esg-ratings-methodology.pdf,"Letter rating mapped to 0-100 scale: A=70, AA=85, AAA=95 in the current source table.",MSCI ratings are peer-relative letter grades; they are mapped to a normalized scale for dashboard comparison.,"Qualitative E/S/G labels are mapped to numeric values, so pillar scores are directional rather than raw provider points.",Industry-relative financial materiality and controversy management can outweigh broad disclosure completeness.
Schneider Electric,2021,S&P CSA,~83,83.0,86.0,80.0,79.0,88,Top 5%,decarbonization,Analyst interpretation based on public methodology,S&P Global CSA Methodology,https://www.spglobal.com/esg/csa/csa-resources/csa-methodology,Reported CSA total score is used directly; approximate values like ~87 are parsed as 87.,"CSA uses a questionnaire-led sector assessment, so detailed evidence and response coverage can move scores differently than public-data providers.",Earlier years may have incomplete E/S/G pillars; ranking and keywords are retained from the source table.,"Sector materiality spreads weight across climate, energy efficiency, human capital, innovation, and governance."
Schneider Electric,2021,Sustainalytics,18,82.0,93.0,94.0,95.0,85,Top 10%,governance strength,Analyst interpretation based on public methodology,Morningstar Sustainalytics ESG Risk Ratings Methodology,https://connect.sustainalytics.com/esg-risk-ratings-methodology,ESG Risk Score is inverted as normalized_score = 100 - Risk Score because lower raw risk is better.,"Sustainalytics is risk-oriented: lower raw ESG Risk Score is better, so it is inverted for 0-100 comparison.","Risk components reflect exposure and unmanaged risk, not the same evidence base as questionnaire or disclosure scores.",Unmanaged financially material risk carries more weight than broad disclosure volume.
Schneider Electric,2022,CDP,Climate A; Water A; Forest B,88.33333333333333,95.0,,,84,A List,climate strategy,Analyst interpretation based on public methodology,CDP Corporate Scoring Methodology / Understand your score,https://help.cdp.net/en-US/knowledgebase/article/KA-01160,"Climate, Water, and Forest letter grades are mapped to numeric values, then averaged where available.","CDP is environment-disclosure focused, so its normalized score reflects climate, water, and forest grades rather than full ESG coverage.",Social and governance pillars are not native CDP fields in the source table and are left blank.,Environmental disclosure and transition performance dominate the aggregate.
Schneider Electric,2022,MSCI,AAA,95.0,95.0,95.0,82.0,82,Leader,ESG maturity,Analyst interpretation based on public methodology,MSCI ESG Ratings Methodology,https://www.msci.com/downloads/documents/access/sustainability-and-climate-resources-and-disclosures/msci-sustainability-and-climate-methodologies/esg-ratings/core-methodologies/esg-ratings-methodology.pdf,"Letter rating mapped to 0-100 scale: A=70, AA=85, AAA=95 in the current source table.",MSCI ratings are peer-relative letter grades; they are mapped to a normalized scale for dashboard comparison.,"Qualitative E/S/G labels are mapped to numeric values, so pillar scores are directional rather than raw provider points.",Industry-relative financial materiality and controversy management can outweigh broad disclosure completeness.
